lat;lon;geo_id_wmo;geo_id_wigos;name;reference_time;insert_time;validity_time;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
42.737167;2.872833;07747;0-20000-0-07747;PERPIGNAN;;;2025-07-16T12:00:00Z;101780.0;-160;8;320;6;305.15;284.35;28;60000;0;;;;0;;;;;101280;;;-200;;;;;295.55;;;11.9;13.1;-10;0;0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
43.005333;1.106833;07627;0-20000-0-07627;ST GIRONS;;;2025-07-16T12:00:00Z;101990.0;150;8;300;1;299.95;289.85;54;19850;0;;;0;0;;;;;97340;;;-290;;288.35;;299.95;286.65;;;3.7;5.2;-10;0;0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
44.1185;3.0195;07558;0-20000-0-07558;MILLAU;;;2025-07-16T12:00:00Z;101680.0;-80;7;290;6;299.95;277.65;24;20000;0;;;;;;;;;93840;;;-180;;;;;285.85;;;13.5;13.5;-10;;0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
43.621;1.378833;07630;0-20000-0-07630;TOULOUSE-BLAGNAC;;;2025-07-16T12:00:00Z;102070.0;-150;8;360;4;301.65;284.25;34;10880;0;;;;0;;;;;100360;;;-270;;;;;290.85;;;8.6;8.6;-10;0;0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
