latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.43767,4.89077,331.33,0.39,0.36,2023-07-12,134,N,VIIRS,n,2.0NRT,292.82,4.07,N
43.44099,4.89167,317.49,0.39,0.36,2023-07-12,134,N,VIIRS,n,2.0NRT,294.31,2.04,N
43.44361,4.89738,334.63,0.39,0.36,2023-07-12,134,N,VIIRS,n,2.0NRT,294.57,4.26,N
43.44694,4.89829,335.45,0.39,0.36,2023-07-12,134,N,VIIRS,n,2.0NRT,295.76,5.15,N
43.44764,4.89348,314.4,0.39,0.36,2023-07-12,134,N,VIIRS,n,2.0NRT,293.56,3.99,N
