idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2260600E3703800,CRS3035RES1000mN2260000E3703000,CRS3035RES1000mN2260000E3703000,1,0,11069,36,11.9,0.4,1.5,1.7,11.3,0.6,1172003.1,1970.5,0,11.9,0,0,0.6,11.3,0,0,1.3,0.4,3,3.1,3.8,3.6,10.8,4.7,5.1,0,0.2
CRS3035RES200mN2260800E3703200,CRS3035RES1000mN2260000E3703000,CRS3035RES1000mN2260000E3703000,1,0,11069,18,6,0.2,0.8,0.9,5.7,0.3,586001.6,985.2,0,6,0,0,0.3,5.7,0,0,0.7,0.2,1.5,1.5,1.9,1.8,5.4,2.4,2.5,0,0.1
CRS3035RES200mN2260800E3703400,CRS3035RES1000mN2260000E3703000,CRS3035RES1000mN2260000E3703000,1,0,11069,27,8.9,0.3,1.1,1.3,8.5,0.4,879002.4,1477.8,0,8.9,0,0,0.4,8.5,0,0,1,0.3,2.3,2.3,2.8,2.7,8.1,3.6,3.8,0,0.1
CRS3035RES200mN2260800E3703600,CRS3035RES1000mN2260000E3703000,CRS3035RES1000mN2260000E3703000,1,0,11069,18,6,0.2,0.8,0.9,5.7,0.3,586001.6,985.2,0,6,0,0,0.3,5.7,0,0,0.7,0.2,1.5,1.5,1.9,1.8,5.4,2.4,2.5,0,0.1
CRS3035RES200mN2260800E3703800,CRS3035RES1000mN2260000E3703000,CRS3035RES1000mN2260000E3703000,1,0,11069,28,9.3,0.3,1.2,1.3,8.8,0.4,911558,1532.6,0,9.3,0,0,0.5,8.8,0,0,1,0.3,2.4,2.4,2.9,2.8,8.4,3.7,4,0,0.1
CRS3035RES200mN2261000E3703200,CRS3035RES1000mN2261000E3703000,CRS3035RES1000mN2261000E3703000,1,0,11069,10,4.3,0.3,0.9,0.1,3.6,0.2,293214,581.5,0.2,4.1,0.3,0,1.1,2.9,0,0,0.1,0.3,0.4,0.8,0.6,0.9,2.3,1.8,2.2,0.6,0
